"","firm","culture","tenure","employments","sim_no","var_win","cond"
"255",9,-0.153293367024208,27.1825830768404,2,1,0.1,1
"256",9,-0.0493519216798833,4.24244604753349,1,1,0.1,1
"257",9,-0.1903371855401,18.8387368458422,1,1,0.1,1
"258",9,-0.24251363058856,4.12563557451231,1,1,0.1,1
"259",9,-0.242548555936588,13.606172738545,3,1,0.1,1
"260",9,-0.100981505593035,39.9495228002665,3,1,0.1,1
"261",9,-0.219773569559181,5.57772763031256,2,1,0.1,1
"262",9,-0.3008736455062,1.30040748037752,1,1,0.1,1
"263",9,-0.171259149818486,23.2340580117,2,1,0.1,1
"264",9,-0.239304946133231,16.7677873494338,1,1,0.1,1
"265",9,-0.116714660386357,138.154419522676,1,1,0.1,1
"266",9,-0.0199110954385339,21.0063124986946,1,1,0.1,1
"267",9,-0.245648972747925,13.0680038211318,1,1,0.1,1
"268",9,-0.0911233296734975,4.0769455613636,1,1,0.1,1
"269",9,-0.091159114419718,2.79959086716266,2,1,0.1,1
"270",9,-0.184181769372335,13.8720737020207,2,1,0.1,1
"271",10,0.290322150211964,4.67012148905548,7,1,0.1,1
"272",10,0.304041969378872,35.0123332438103,1,1,0.1,1
"273",10,0.282390884454007,8.76899609766195,2,1,0.1,1
"274",10,0.184380485417258,12.1481304497679,1,1,0.1,1
"275",10,0.304834918189601,19.3809000163154,2,1,0.1,1
"276",10,0.148079335843882,11.2414935100977,1,1,0.1,1
"277",10,0.0987399664318499,19.3516215199994,1,1,0.1,1
"278",10,0.363345539907763,40.8129772070356,1,1,0.1,1
"279",10,0.190737407377068,16.7271417801224,1,1,0.1,1
"280",10,0.186244288724408,18.1608735874589,1,1,0.1,1
"281",10,0.181257529496703,44.74225971416,2,1,0.1,1
"282",10,0.253845972137592,11.35517102007,2,1,0.1,1
"283",10,0.14907292866438,54.1619506014263,1,1,0.1,1
"284",10,0.11047177307983,4.06015702690554,2,1,0.1,1
"285",10,0.35357909304379,2.96742845139738,2,1,0.1,1
"286",10,0.167108280102484,39.4385431373993,1,1,0.1,1
"287",10,0.110061114004056,50.6413990334941,1,1,0.1,1
"288",10,0.193454355961431,8.2189201020223,2,1,0.1,1
"289",10,0.116445773626565,4.73026552755942,1,1,0.1,1
"290",10,0.105338021502416,3.49035906385609,2,1,0.1,1
"291",10,0.107583884876979,4.82428484285702,1,1,0.1,1
"292",10,0.209426391672545,13.2561477332361,2,1,0.1,1
"293",10,0.355296281790287,17.1324439720773,2,1,0.1,1
"294",10,0.0909966572642062,1.56790166581338,1,1,0.1,1
"295",10,0.00763626838915088,36.719285360596,1,1,0.1,1
"296",10,0.268003445228884,8.69893773346177,2,1,0.1,1
"297",10,0.274777071135783,26.1170611999256,1,1,0.1,1
"298",10,0.205317771273975,6.35507646153928,1,1,0.1,1
"299",10,0.34814671845386,23.2546226140359,2,1,0.1,1
"300",10,0.254491547595006,20.5053030711009,2,1,0.1,1
"301",11,-0.27724386598844,30.6835227796954,1,1,0.1,1
"302",11,-0.302304572414578,8.03709719116774,1,1,0.1,1
"303",11,-0.242690538453155,14.2210528933563,1,1,0.1,1
"304",11,-0.243786711482618,1.26026786669658,1,1,0.1,1
"305",11,-0.272867058730784,17.2557746366159,2,1,0.1,1
