"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","r0","r1","r2","select","s0","s1"
"134",0.813944695814484,0.0985080765618315,0.814123639835357,0.0986278405693979,1.83654729109275e-05,0,14.1005274867758,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0,1
"135",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0,10
"136",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.03,0.1
"137",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.03,1
"138",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.03,10
"139",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.06,0.1
"140",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.06,1
"141",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,0.06,10
"142",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,1,0.1
"143",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,1,1
"144",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0.3,0.3,0.1,0,10,0.05,1,1,10
"145",0.813944695814484,0.0985080765618315,0.805246801122713,0.0337509178514787,0.0338567493112948,0.767663768740671,22,4,1,1,0.3,0.3,0.1,0.03,0.1,0.05,1,0,0.1
