"","varbtwn_0","varwin_0","varbtwn_100","varwin_100","varbtwn_200","varwin_200","varbtwn_300","varwin_300","turnover","carriers","sim_no","socialize","b0","b1","b2","b3","eps_soc","alienate","r0","r1","r2","select","s0","s1","eps_hire"
"91",3.68774805312137,102.802117190354,8.89461491883291,61.9016526947816,4.48172459879595,56.4837097364528,4.99612869123778,49.2800165728743,0.0297932816537468,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,10,0.01,0.1
"92",3.85941590488656,94.9916778065644,2.95655866570217,98.0745001018102,4.92449702840011,96.5056491047728,3.02516481052558,97.0938007372022,0.0991694352159468,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,0,10,0.01,10
"93",1.26297946075879,0.0100836829592375,0.0655858878071447,0.075314708296188,0.0797679050156444,0.00620277425500623,0.0833344118326738,0.00575101518910023,0.0546068660022148,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,0.1,0.01,0
"94",1.15040310630674,0.00977322728277246,0.0173006377156329,0.00519350071305179,0.000272382114198894,0.00324777658558285,0.000427411510378413,0.00191651066871872,0.0478146917681801,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,0.1,0.01,0.1
"95",1.14083774303662,1.05364818204287,0.124283235000181,0.802404534502863,0.0960324829738723,0.580520529430537,0.0938294923550961,0.466861403358966,0.0901365817644887,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,1,0.01,0
"96",1.09275837010259,1.06971054496208,0.0975428923552913,0.735402679613051,0.0647991182281301,0.557182243737411,0.0645032973421633,0.432533772504429,0.0913768918420081,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,1,0.01,0.1
"97",3.8942950621431,104.890580946204,7.90560892750546,51.3477773886596,8.73492039710057,39.5952435986021,3.56146552580922,35.6026075697705,0.0984422296050203,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,10,0.01,0
"98",4.91888902292982,99.5131049452414,6.56202495053813,55.0342060757182,4.6819961805614,40.890005160649,4.54393647078441,33.1715675184846,0.0980214101144334,NA,2,0,0,0,0,0,0,1,0.03,0.1,0.1,1,10,0.01,0.1
"99",4.88695555094682,104.410061650451,3.25356774402608,104.004539103164,3.08103598897914,105.034866214505,4.1697235029779,104.635094815612,0.0917644887412329,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,0,10,0.01,10
"100",0.929526511637253,0.0099646298393976,0.0061249946253469,0.0243023118004615,0.00130603174064197,0.0121794351378263,0.000992923626981351,0.00883398245007811,0.0325876707272056,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,1,0.1,0.01,0
"101",1.21838217993479,0.0107443597635582,0.0105048574672402,0.0185769289290322,0.00232811656244076,0.010577412658337,0.000529462808827039,0.00636075026652754,0.0329494278331488,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,1,0.1,0.01,0.1
"102",0.804170959344426,1.05733215565404,0.108688804229,0.761638342867448,0.0901354260243817,0.607195880036459,0.0412762094331856,0.556094993312077,0.0489737910668143,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,1,1,0.01,0
"103",1.01876444936555,0.961663241524765,0.133015331900232,0.765148826163418,0.120526861236489,0.566830543427549,0.0614863236792769,0.510561129709515,0.0492211148025102,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,1,1,0.01,0.1
"104",5.78180074820044,106.178288741376,14.1199895133401,52.3577501569949,6.07892792770409,45.6273913012227,7.6084993563705,35.9582115337137,0.0889922480620155,NA,2,0,0,0,0,0,0,1,0.03,1,0.1,1,10,0.01,0
